name,region,cityProvince,address,holes,phone,certified,status,lat,lng
점곡사촌문화골프장,경북,경북,경상북도 의성군 점곡면 점곡길 53,9,,False,공개,37.5085,127.0632
지곡파크골프장,경북,경북,경상북도 포항시 남구 효곡동,18,,False,공개,36.0102557,129.3292617
철우파크골프장,경북,경북,경상북도 안동시 운흥동 구 안동역내,9,,False,공개,37.5085,127.0632
청도파크골프장,경북,경북,경상북도 청도군 청도읍 사기점길 24,27,,False,공개,37.5085,127.0632
청송파크골프장,경북,경북,경상북도 청송군 청송읍 송생리 784-1,18,,False,공개,37.5085,127.0632
풍기파크골프장,경북,경북,경상북도 영주시 풍기읍 창락리 303-1 남원천변,18,,False,공개,37.5085,127.0632
하양파크골프장,경북,경북,경상북도 경산시 하양읍 동서리172-4,18,,False,공개,37.5085,127.0632
해평파크골프장,경북,경북,경상북도 구미시 해평면 낙산리1095-34,18,,False,공개,37.5085,127.0632
형산장애인전용파크골프장,경북,경북,경상북도 포항시 남구 형산강북로 371,18,,False,공개,36.0118389,129.3709587
형산파크골프장,경북,경북,경상북도 포항시 남구 해도동 119-1 형산둔치 형산강변체육공원 내,36,,False,공개,37.5085,127.0632
가창파크골프장,대구,대구,대구광역시 달성군 가창면 옥분리 788-1,18,,False,공개,37.5085,127.0632
강변파크골프장,대구,대구,대구광역시 북구 서변동 1506 강변축구장 옆,45,,False,공개,37.5085,127.0632
강변파크골프장,부산,부산,부산광역시 사하구 을숙도대로 466,9,,False,공개,35.0825275,128.9540739
강창파크골프장,대구,대구,대구광역시 달성군 다사읍 매곡리 91,18,,False,공개,37.5085,127.0632
고로파크골프장,대구,대구,대구광역시 군위군 삼국유사면 석산리 560,18,,False,공개,37.5085,127.0632
과학관공원 파크골프장,대구,대구,대구광역시 달성군 유가읍 상리 916-1,9,,False,공개,35.6757976,128.4515099
구지1호근린공원 파크골프장,대구,대구,대구광역시 달성군 구지면 내리 840 산업단지1호근린공원,18,,False,공개,37.5085,127.0632
구지평촌파크골프장,대구,대구,대구광역시 달성군 구지면 평촌리 1-10,18,,False,공개,37.5085,127.0632
군위파크골프장,대구,대구,대구광역시 군위군 군위읍 내량길 28-60,36,,False,공개,37.5085,127.0632
기장파크골프장,부산,부산,부산광역시 기장군 정관읍 모전리677 물빛공원,6,,False,공개,37.5085,127.0632
남구 대공원 파크골프장,울산,울산,울산광역시 남구 대공원로 94,18,,False,공개,35.5337157,129.2884148
남구 태화강 파크골프장,울산,울산,울산광역시 남구 신정동 391,36,,False,공개,35.53487,129.31199
남구파크골프장,대구,대구,대구광역시 남구 봉덕동 산128-1,9,,False,공개,37.5085,127.0632
논공 위천파크골프장,대구,대구,대구광역시 달성군 논공읍 위천리 646,36,,False,공개,37.5085,127.0632
다사파크골프장,대구,대구,대구광역시 달성군 다사읍 매곡리 354-1 금호강변 세천교 밑,36,,False,공개,37.5085,127.0632
